LanePointX,LanePointY
-1.474102,3.499002
-1.290535,3.499034
-1.103519,3.500299
-0.912109,3.502895
-0.724282,3.506728
-0.534964,3.511884
-0.353830,3.518033
-0.155136,3.526148
0.023107,3.534650
0.213532,3.545010
0.416048,3.557480
0.586478,3.569136
0.764814,3.582393
0.950718,3.597300
1.144643,3.614153
1.345595,3.633021
1.554241,3.654127
1.770715,3.677659
1.994303,3.703718
2.167261,3.725099
2.344053,3.748054
2.523766,3.772529
2.707083,3.798698
2.893658,3.826585
3.082730,3.856119
3.274339,3.887388
3.468088,3.920383
3.663779,3.955105
3.860790,3.991496
4.059591,4.029694
4.259232,4.069545
4.459355,4.110995
4.659618,4.154008
4.860710,4.198749
5.061850,4.245045
5.262288,4.292750
5.462088,4.341875
5.661092,4.392373
5.860046,4.444431
6.058419,4.497912
6.256123,4.552787
6.453451,4.609135
6.650161,4.666884
6.846213,4.726019
7.042140,4.786699
7.237227,4.848705
7.431397,4.912001
7.624976,4.976686
7.818373,5.042898
8.011145,5.110489
8.203164,5.179409
8.394187,5.249562
8.585030,5.321244
8.774991,5.394194
8.964421,5.468540
9.152994,5.544153
9.341055,5.621166
9.528317,5.699459
9.715008,5.779125
9.900948,5.860086
10.086448,5.942476
10.270981,6.026059
10.454399,6.110758
10.637441,6.196909
10.819754,6.284348
11.001323,6.373066
11.182166,6.463069
11.361761,6.554089
11.540976,6.646560
11.719543,6.740349
11.896852,6.835130
12.073574,6.931252
12.249483,7.028594
12.424650,7.127193
12.598919,7.226957
12.772303,7.327891
12.945131,7.430184
13.116905,7.533541
13.287693,7.637997
13.457710,7.743675
13.626767,7.850459
13.794771,7.958281
13.962158,8.067419
14.128784,8.177781
14.293922,8.288879
14.458601,8.401397
14.622343,8.515012
14.785101,8.629688
14.946896,8.745434
15.107763,8.862272
15.267693,8.980193
15.426664,9.099176
15.585014,9.219476
15.742093,9.340598
15.897955,9.462570
16.053185,9.585847
16.207299,9.710047
16.360212,9.835092
16.512531,9.961474
16.663668,10.088710
16.813749,10.216898
16.962706,10.345973
17.110791,10.476149
17.257763,10.607213
17.403706,10.739234
17.548667,10.872253
17.692617,11.006239
17.835492,11.141132
17.977522,11.277148
18.118238,11.413831
18.257990,11.551517
18.396576,11.690002
18.533887,11.829167
18.670555,11.969653
18.805645,12.110496
18.940163,12.252738
19.073294,12.395521
