LanePointX,LanePointY
-1.432229,-3.500873
-1.201703,-3.500402
-0.966849,-3.498367
-0.726481,-3.494643
-0.490615,-3.489370
-0.252881,-3.482430
-0.025427,-3.474259
0.224074,-3.463573
0.447890,-3.452450
0.687000,-3.438959
0.941289,-3.422786
1.155285,-3.407716
1.378724,-3.390635
1.611322,-3.371459
1.853926,-3.349820
2.105293,-3.325633
2.366255,-3.298616
2.636972,-3.268534
2.916552,-3.235263
3.132798,-3.207991
3.353842,-3.178729
3.578582,-3.147541
3.807810,-3.114217
4.041090,-3.078732
4.277562,-3.041154
4.517195,-3.001393
4.759487,-2.959464
5.004247,-2.915350
5.250685,-2.869130
5.499346,-2.820643
5.749070,-2.770074
5.999460,-2.717480
6.250015,-2.662930
6.501598,-2.606211
6.753326,-2.547518
7.004180,-2.487059
7.254231,-2.424824
7.503281,-2.360873
7.752263,-2.294969
8.000514,-2.227285
8.247923,-2.157856
8.494856,-2.086585
8.741012,-2.013561
8.986339,-1.938804
9.231505,-1.862111
9.475615,-1.783762
9.718572,-1.703801
9.960786,-1.622101
10.202768,-1.538489
10.443961,-1.453154
10.684209,-1.366156
10.923205,-1.277617
11.161971,-1.187164
11.399628,-1.095126
11.636617,-1.001341
11.872530,-0.905973
12.107796,-0.808853
12.342057,-0.710133
12.575600,-0.609694
12.808198,-0.507637
13.040241,-0.403791
13.271069,-0.298454
13.500499,-0.191723
13.729452,-0.083176
13.957490,0.026983
14.184590,0.138741
14.410779,0.252106
14.635401,0.366740
14.859543,0.483192
15.082869,0.601291
15.304618,0.720628
15.525627,0.841644
15.745614,0.964184
15.964668,1.088296
16.182595,1.213866
16.399409,1.340897
16.615523,1.469628
16.830313,1.599690
17.043867,1.731123
17.256450,1.864086
17.467829,1.998429
17.677884,2.134070
17.887165,2.271357
18.095487,2.410176
18.301944,2.549911
18.507823,2.691423
18.712524,2.834306
18.915990,2.978515
19.118246,3.124061
19.319337,3.270972
19.519252,3.419236
19.717962,3.568827
19.915891,3.720066
20.112225,3.872330
20.307033,4.025656
20.501045,4.180614
20.693657,4.336725
20.884763,4.493889
21.075119,4.652728
21.263993,4.812632
21.451543,4.973725
21.637682,5.135925
21.822725,5.299502
22.006372,5.464187
22.188727,5.630069
22.369850,5.797197
22.549702,5.965533
22.728207,6.135002
22.905650,6.305875
23.081444,6.477579
23.256029,6.650537
23.429152,6.824493
23.600674,6.999295
23.771388,7.175751
23.940124,7.352647
24.108141,7.531297
24.274418,7.710619
24.439407,7.891086
24.603151,8.072749
24.765142,8.255031
24.925884,8.438490
25.085406,8.623162
25.243347,8.808623
25.399978,8.995187
25.555380,9.182948
25.709120,9.371381
25.861448,9.560779
26.012299,9.751054
26.161514,9.941995
26.298890,10.126455
26.430373,10.301673
26.561313,10.475568
26.692452,10.649723
26.823433,10.823668
26.954324,10.997493
27.084936,11.170948
27.215486,11.344320
27.346163,11.517862
27.476612,11.691099
27.607043,11.864314
27.737432,12.037473
27.867710,12.210484
27.997934,12.383423
28.128026,12.556188
28.257960,12.728741
28.387886,12.901286
28.517598,13.073545
28.647238,13.245708
28.776782,13.417745
28.906420,13.589907
29.035774,13.761691
29.165015,13.933325
29.294331,14.105058
29.423785,14.276976
29.553592,14.449361
29.683469,14.621840
29.813733,14.794833
29.943320,14.966926
30.073448,15.139738
30.203227,15.312086
30.332885,15.484275
30.462344,15.656198
30.591776,15.828085
30.721399,16.000227
30.850725,16.171974
30.980001,16.343654
31.109003,16.514971
31.237948,16.686212
31.366943,16.857519
31.495867,17.028733
31.625247,17.200551
31.755210,17.373144
31.886107,17.546977
32.018325,17.722564
32.151872,17.899918
32.287054,18.079440
32.424722,18.262266
32.564396,18.447755
32.707481,18.637774
32.853183,18.831268
33.001492,19.028225
33.153029,19.229469
33.307296,19.434338
33.464647,19.643303
33.624867,19.856077
33.788143,20.072910
33.954154,20.293376
34.123214,20.517889
34.295400,20.746556
34.411788,20.901121
34.528994,21.056772
34.647938,21.214731
34.767969,21.374135
34.889530,21.535570
35.012720,21.699167
35.136502,21.863552
35.261886,22.030064
35.388513,22.198227
35.516631,22.368369
35.645700,22.539775
35.776132,22.712991
35.908006,22.888122
36.041313,23.065156
36.175802,23.243759
36.311608,23.424111
36.448287,23.605623
36.586707,23.789447
36.726508,23.975104
36.867619,24.162503
37.009581,24.351029
37.152918,24.541384
37.297930,24.733962
37.443827,24.927715
37.590663,25.122716
37.738150,25.318581
37.886961,25.516204
38.036771,25.715154
38.187424,25.915224
38.339054,26.116590
38.490706,26.317986
38.644068,26.521654
38.797163,26.724966
38.950930,26.929172
39.105994,27.135099
39.260932,27.340859
39.416104,27.546929
39.572089,27.754080
39.728210,27.961412
39.885164,28.169849
40.041728,28.377768
40.198357,28.585773
40.355485,28.794443
40.512569,29.003053
40.669543,29.211516
40.827047,29.420684
40.983587,29.628571
41.140663,29.837170
41.297714,30.045737
41.454111,30.253435
41.611086,30.461900
41.767742,30.669941
41.924235,30.877767
42.081403,31.086488
42.237867,31.294275
42.394591,31.502406
42.550697,31.709718
42.706906,31.917166
42.863733,32.125434
43.019704,32.332566
43.175891,32.539985
43.332561,32.748046
43.488311,32.954884
43.644674,33.162537
43.801022,33.370169
43.956651,33.576846
44.112703,33.784086
44.268644,33.991178
44.424425,34.198058
44.580541,34.405382
44.735792,34.611557
44.891881,34.818847
45.047504,35.025516
45.202931,35.231926
45.358996,35.439183
45.514463,35.645645
45.669590,35.851657
45.824920,36.057937
45.980798,36.264945
46.135752,36.470726
46.291359,36.677375
46.446269,36.883098
46.601736,37.089560
46.756474,37.295054
46.911558,37.501008
47.066972,37.707401
47.221450,37.912550
47.376654,38.118663
47.531289,38.324021
47.686077,38.529583
47.841362,38.735803
47.995866,38.940987
48.150151,39.145880
48.304939,39.351441
48.459479,39.556672
48.614123,39.762042
48.768578,39.967160
48.922940,40.172156
49.077696,40.377674
49.232049,40.582657
49.386000,40.787106
49.540492,40.992274
49.694229,41.196439
49.848887,41.401827
50.002587,41.605944
50.156506,41.810350
50.310677,42.015091
50.464395,42.219232
50.618485,42.423865
50.772535,42.628446
50.925773,42.831949
51.079858,43.036576
51.233723,43.240911
51.387011,43.444479
51.540513,43.648332
51.694247,43.852493
51.847622,44.056178
52.001438,44.260448
52.154632,44.463892
52.308193,44.667824
52.461383,44.871262
52.614295,45.074332
52.767488,45.277775
52.920917,45.481531
53.073747,45.684491
53.227036,45.888061
53.379858,46.091011
53.532851,46.294189
53.685842,46.497363
53.838347,46.699891
53.991496,46.903276
54.144005,47.105811
54.296680,47.308566
54.449539,47.511564
54.602211,47.714316
54.754733,47.916866
54.907003,48.119084
55.059331,48.321378
55.198378,48.514739
55.332941,48.702374
55.467330,48.885970
55.603313,49.067170
55.740751,49.246621
55.878937,49.423962
56.018887,49.600631
56.159520,49.775289
56.302047,49.949453
56.445965,50.122487
56.590705,50.293723
56.737358,50.464452
56.884676,50.633222
57.033584,50.801105
57.184064,50.968072
57.335073,51.132972
57.488259,51.297610
57.641894,51.460122
57.797060,51.621672
57.953907,51.782401
58.111496,51.941345
58.270345,52.099042
58.430354,52.255392
58.591194,52.410087
58.753985,52.564199
58.917467,52.716525
59.081836,52.867268
59.248079,53.017329
59.414553,53.165223
59.582628,53.312184
59.752260,53.458156
59.921969,53.601873
60.093484,53.744815
60.265824,53.886152
60.439188,54.026056
60.614140,54.164976
60.789235,54.301769
60.965935,54.437589
61.143194,54.571629
61.321750,54.704454
61.501312,54.835842
61.682186,54.966014
61.863158,55.094104
62.045991,55.221367
62.229096,55.346689
62.413593,55.470844
62.598715,55.593316
62.784338,55.714032
62.971291,55.833538
63.159183,55.951575
63.347531,56.067845
63.537639,56.183152
63.727428,56.296233
63.918899,56.408295
64.111111,56.518772
64.303502,56.627353
64.497116,56.734635
64.691420,56.840318
64.886471,56.944435
65.082138,57.046921
65.279274,57.148218
65.476547,57.247636
65.674197,57.345314
65.872854,57.441566
66.072585,57.536416
66.272611,57.629495
66.472946,57.720821
66.673858,57.810524
66.875927,57.898860
67.078493,57.985536
67.281916,58.070705
67.485503,58.154081
67.690216,58.236060
67.894868,58.316167
68.100218,58.394708
68.306280,58.471687
68.512809,58.547011
68.719802,58.620684
68.927718,58.692866
