LanePointX,LanePointY
-1.454503,-2.500000
-1.250687,-2.500000
-1.044385,-2.500000
-0.851768,-2.500000
-0.657583,-2.500000
-0.454488,-2.500000
-0.250958,-2.500000
-0.048904,-2.500000
0.151771,-2.500000
0.351006,-2.500000
0.548877,-2.500000
0.745143,-2.500000
0.940143,-2.500000
1.136057,-2.500000
1.332611,-2.500000
4.698826,-2.500000
4.893549,-2.500000
5.090903,-2.500000
5.290755,-2.500000
5.492456,-2.500000
5.695447,-2.500000
5.899697,-2.500000
6.103699,-2.500000
6.307153,-2.500000
6.510661,-2.500000
6.714257,-2.500000
6.917364,-2.500000
7.119997,-2.500000
7.322826,-2.500000
7.524793,-2.500000
10.649979,-2.515155
10.833701,-2.521307
11.016964,-2.528485
11.200398,-2.536713
11.383261,-2.545955
11.565929,-2.556223
11.748071,-2.567495
11.930212,-2.579800
12.112150,-2.593122
12.293695,-2.607445
12.474619,-2.622744
12.655661,-2.639077
12.835896,-2.656357
13.016252,-2.674670
13.196030,-2.693941
16.052429,-3.138190
16.233042,-3.175147
16.416750,-3.213646
16.604520,-3.254037
16.796402,-3.296492
16.993958,-3.341448
17.197822,-3.389152
17.407576,-3.439630
17.622718,-3.492879
17.842861,-3.548916
18.067899,-3.607842
18.239373,-3.653856
18.412234,-3.701230
18.587508,-3.750285
18.764158,-3.800767
21.627830,-4.771406
21.803636,-4.840750
21.978806,-4.911012
22.153711,-4.982339
22.327851,-5.054527
22.501563,-5.127710
22.674799,-5.201868
22.847442,-5.276948
23.019660,-5.353023
23.190924,-5.429853
23.361768,-5.507673
23.532217,-5.586495
23.701828,-5.666111
23.871210,-5.746804
24.039608,-5.828213
26.688706,-7.274076
26.860461,-7.375207
27.032021,-7.476222
27.203695,-7.577304
27.375166,-7.678267
27.546234,-7.778991
27.717623,-7.879906
27.888502,-7.980520
28.059452,-8.081175
28.230307,-8.181775
28.401054,-8.282312
28.571921,-8.382918
28.742031,-8.483080
28.912479,-8.583439
29.082701,-8.683666
31.789492,-10.277431
31.957801,-10.376532
32.125770,-10.475432
32.286047,-10.564981
32.442282,-10.657138
32.597314,-10.750263
32.751286,-10.843936
32.904952,-10.938587
33.057747,-11.033867
33.210098,-11.130037
33.361730,-11.226924
33.512756,-11.324596
33.662980,-11.422923
33.812909,-11.522236
33.962161,-11.622283
36.255275,-13.318391
36.392761,-13.430285
36.529515,-13.542817
36.665597,-13.656037
36.801116,-13.770034
36.935424,-13.884257
37.069542,-13.999570
37.202509,-14.115148
37.335174,-14.231722
37.466720,-14.348576
37.641167,-14.505507
37.814398,-14.663607
37.986298,-14.822762
38.156986,-14.983079
38.326105,-15.144212
40.861757,-17.870903
41.009109,-18.049921
41.154806,-18.229508
41.299519,-18.410495
41.443813,-18.593610
41.588141,-18.779482
