LanePointX,LanePointY
-1.454503,-7.500000
-1.250687,-7.500000
-1.044385,-7.500000
-0.851768,-7.500000
-0.657583,-7.500000
-0.454488,-7.500000
-0.250958,-7.500000
-0.048904,-7.500000
0.151771,-7.500000
0.351006,-7.500000
0.548877,-7.500000
0.745143,-7.500000
0.940143,-7.500000
1.136057,-7.500000
1.332611,-7.500000
4.698826,-7.500000
4.893549,-7.500000
5.090903,-7.500000
5.290755,-7.500000
5.492456,-7.500000
5.695447,-7.500000
5.899697,-7.500000
6.103699,-7.500000
6.307153,-7.500000
6.510661,-7.500000
6.714257,-7.500000
6.917364,-7.500000
7.119997,-7.500000
7.322826,-7.500000
7.524793,-7.500000
10.493034,-7.512692
10.648352,-7.517870
10.803282,-7.523917
10.958357,-7.530851
11.112949,-7.538643
11.267377,-7.547302
11.421359,-7.556810
11.575342,-7.567191
11.729152,-7.578432
11.882630,-7.590519
12.035584,-7.603431
12.188638,-7.617218
12.341009,-7.631806
12.493483,-7.647266
12.645468,-7.663537
15.060298,-8.038769
15.212992,-8.069991
15.368569,-8.102543
15.527741,-8.136715
15.690447,-8.172645
15.858017,-8.210702
16.030960,-8.251089
16.208920,-8.293827
16.391457,-8.338908
16.578216,-8.386340
16.769145,-8.436221
16.914613,-8.475164
17.061253,-8.515256
17.209947,-8.556773
17.359804,-8.599495
19.788132,-9.420655
19.937192,-9.479326
20.085713,-9.538776
20.234010,-9.599129
20.381658,-9.660212
20.528944,-9.722138
20.675826,-9.784891
44.374421,-37.910807
44.437976,-38.129792
44.501445,-38.348480
44.565013,-38.567510
44.628553,-38.786440
44.692065,-39.005279
44.755504,-39.223864
44.818858,-39.442155
44.882287,-39.660704
44.945772,-39.879447
45.958709,-43.369612
46.021993,-43.587664
46.085194,-43.805428
46.148551,-44.023731
46.211752,-44.241494
46.275102,-44.459773
46.338109,-44.676868
46.401271,-44.894500
46.464636,-45.112829
46.527656,-45.329972
46.590758,-45.547393
46.653992,-45.765271
46.716946,-45.982185
46.780036,-46.199568
46.843041,-46.416657
47.861130,-49.924574
47.926127,-50.148525
47.991245,-50.372899
48.056609,-50.598115
48.121932,-50.823192
48.187405,-51.048783
48.252797,-51.274099
48.318205,-51.499468
48.383836,-51.725604
48.449350,-51.951338
48.514864,-52.177073
48.580464,-52.403102
48.645799,-52.628220
48.711396,-52.854240
48.776663,-53.079124
49.820533,-56.675872
49.885820,-56.900825
49.950583,-57.123969
50.015678,-57.348261
50.080773,-57.572551
50.145828,-57.796704
50.210656,-58.020077
50.275524,-58.243584
50.341527,-58.477719
50.411859,-58.735812
50.485580,-58.999615
50.563197,-59.267351
50.642609,-59.531548
50.725276,-59.798660
50.810041,-60.065901
52.394315,-64.249808
52.507274,-64.505151
52.621739,-64.759488
52.737868,-65.013174
52.855476,-65.265808
52.974591,-65.517465
53.095759,-65.769285
53.217706,-66.018631
53.341668,-66.268056
53.467293,-66.516827
53.594192,-66.764181
53.722815,-67.011007
53.852782,-67.256577
53.984521,-67.501704
54.117576,-67.745535
56.447686,-71.515801
56.605423,-71.742647
56.764449,-71.968282
56.925118,-72.193209
57.086929,-72.416724
57.250491,-72.639672
57.415022,-72.860985
57.580721,-73.080949
57.748148,-73.300309
57.916928,-73.518561
58.086730,-73.735289
58.258206,-73.951325
58.430546,-74.165651
58.604639,-74.379382
58.779819,-74.591689
61.679171,-77.743706
61.840973,-77.904577
62.002134,-78.065007
62.163191,-78.225403
62.323609,-78.385188
62.484306,-78.545261
62.644605,-78.704942
62.804900,-78.864619
62.965305,-79.024407
63.125408,-79.183895
63.285902,-79.343772
63.446054,-79.503307
63.605949,-79.662588
63.766187,-79.822210
63.926183,-79.981590
66.484230,-82.529803
66.644172,-82.689130
66.803681,-82.848026
66.963373,-83.007104
67.122898,-83.166016
67.282628,-83.325132
67.442025,-83.483916
67.601378,-83.642656
67.760993,-83.801657
67.920118,-83.960171
68.079587,-84.119027
68.238702,-84.277530
68.398056,-84.436271
68.557136,-84.594740
68.716109,-84.753102
71.297271,-87.324340
71.465161,-87.491584
71.633927,-87.659702
71.804331,-87.829450
71.975698,-88.000159
72.148162,-88.171959
72.322182,-88.345310
72.497056,-88.519512
72.673222,-88.695001
72.850783,-88.871880
73.029427,-89.049836
73.209589,-89.229306
73.390562,-89.409583
73.572833,-89.591153
73.756756,-89.774369
76.826879,-92.832689
77.024434,-93.029485
77.222417,-93.226706
77.421005,-93.424530
77.619403,-93.622166
77.818072,-93.820071
78.016944,-94.018179
78.215806,-94.216276
78.414818,-94.414523
78.614053,-94.612992
78.812870,-94.811045
79.011708,-95.009118
79.210832,-95.207477
79.409577,-95.405457
79.608369,-95.603486
82.779844,-98.762767
82.977278,-98.959442
83.174876,-99.156281
83.372864,-99.353507
83.570207,-99.550091
83.767861,-99.746986
83.965200,-99.943566
84.162674,-100.140281
84.360566,-100.337412
84.558061,-100.534147
84.755990,-100.731316
84.953622,-100.928188
85.151342,-101.125148
85.349192,-101.322238
85.546763,-101.519049
88.700528,-104.660688
88.897411,-104.856815
89.093876,-105.052525
89.290797,-105.248688
89.487829,-105.444963
89.685370,-105.641744
89.883149,-105.838763
90.081678,-106.036529
90.280661,-106.234747
90.480394,-106.433712
90.680386,-106.632935
90.881616,-106.833392
91.083622,-107.034620
91.286398,-107.236617
91.489987,-107.439423
95.429510,-111.164685
95.703602,-111.392832
95.979035,-111.618391
96.256402,-111.841850
96.535944,-112.063389
96.816334,-112.281960
97.098628,-112.498406
97.382814,-112.712710
97.668962,-112.924916
97.956835,-113.134843
98.245187,-113.341600
98.535856,-113.546520
98.827321,-113.748528
99.121085,-113.948674
99.416101,-114.146234
103.975723,-116.812627
104.234018,-116.953050
104.491992,-117.093297
104.750022,-117.233574
105.007984,-117.373813
105.266047,-117.514107
105.523854,-117.654262
105.781348,-117.794246
106.039250,-117.934453
106.296850,-118.074495
106.554121,-118.214358
106.803337,-118.347698
107.030755,-118.465096
107.248472,-118.577614
107.461441,-118.689380
110.629276,-120.670714
110.816843,-120.807028
111.003714,-120.945106
111.188660,-121.084037
